,Unnamed: 0,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
970,970,2,462.0,253.0,253.0,924.0,506.0,209.0
971,971,4,2218.27,0.0,,8873.08,,1013.56
972,972,2,612.6,0.0,71.02,1225.2,142.04,541.58
973,973,5,,0.0,,,,
974,974,12,781.0,0.0,126.46,9372.0,1517.55,654.54
975,975,15,1180.0,0.0,191.22,,2868.3,988.78
976,976,20,1475.3,314.44,314.44,,,1160.86
977,977,20,1144.58,363.31,363.31,,,781.27
978,978,20,330.8,92.32,92.32,6616.0,1846.35,238.48
979,979,4,2621.15,,741.05,10484.6,2964.18,1880.1
980,980,2,519.14,0.0,119.95,1038.28,239.89,399.19
981,981,1,1443.3,470.05,470.05,1443.3,470.05,973.25
982,982,1,1033.0,0.0,217.51,1033.0,217.51,815.49
983,983,1,295.0,39.22,39.22,295.0,39.22,255.78
984,984,10,386.0,84.41,84.41,3860.0,844.11,301.59
985,985,1,813.1,260.2,260.2,813.1,260.2,552.9
986,986,1,,,,3450.74,1216.54,
987,987,1,225.0,78.65,78.65,225.0,78.65,146.35
988,988,1,2256.35,0.0,,2256.35,927.84,1328.51
989,989,3,732.0,260.2,260.2,2196.0,780.6,471.8
990,990,12,745.0,0.0,240.58,8940.0,2887.02,504.42
991,991,10,864.2,0.0,226.8,8642.0,2268.0,637.4
992,992,2,999.91,226.23,226.23,1999.81,452.46,773.68
993,993,1,1800.0,,693.77,1800.0,693.77,1106.23
994,994,1,2068.5,,,2068.5,1261.99,806.51
995,995,1,,0.0,,3213.0,1165.13,2047.87
996,996,4,2464.2,0.0,,9856.8,,1396.21
997,997,20,810.0,313.65,313.65,,,496.35
998,998,1,1075.31,0.0,521.55,1075.31,521.55,553.76
999,999,8,753.5,0.0,127.11,6028.0,1016.9,626.39
1000,1000,1,497.89,42.8,42.8,497.89,42.8,455.09
1001,1001,3,2400.0,0.0,679.75,7200.0,2039.25,1720.25
1002,1002,2,647.0,100.13,100.13,1294.0,200.26,546.87
1003,1003,2,647.0,,,1294.0,1789.82,-247.91
1004,1004,2,562.5,0.0,102.31,1125.0,204.63,460.19
1005,1005,2,813.1,260.2,260.2,1626.21,520.4,552.9
1006,1006,9,764.39,137.83,137.83,6879.51,1240.49,626.56
1007,1007,1,941.77,203.69,203.69,941.77,203.69,738.08
1008,1008,1,669.35,126.54,126.54,669.35,126.54,542.81
1009,1009,2,863.0,68.35,68.35,1726.0,136.7,794.65
1010,1010,1,1045.31,388.11,388.11,1045.31,388.11,657.2
1011,1011,2,901.5,68.35,68.35,1803.0,136.7,833.15
1012,1012,3,1064.0,330.66,330.66,3192.0,991.99,733.34
1013,1013,20,1475.3,331.61,331.61,,,1143.69
1014,1014,1,,,,3730.0,1388.82,
1015,1015,1,485.0,144.4,144.4,485.0,144.4,340.6
1016,1016,2,2278.45,0.0,436.59,4556.9,873.18,1841.86
1017,1017,1,817.89,0.0,176.15,817.89,176.15,641.74
1018,1018,1,385.0,253.0,253.0,385.0,253.0,132.0
1019,1019,10,386.0,77.13,77.13,3860.0,771.29,308.87
1020,1020,3,1784.35,0.0,112.39,5353.05,337.18,1671.96
1021,1021,4,657.58,107.5,107.5,2630.32,429.99,550.08
1022,1022,4,779.5,158.36,158.36,3118.0,633.45,621.14
1023,1023,2,435.72,265.64,265.64,871.44,531.27,170.08
1024,1024,2,350.41,125.68,125.68,700.82,251.36,224.73
1025,1025,1,327.59,57.6,57.6,327.59,57.6,269.99
1026,1026,10,1250.0,0.0,170.16,,1701.62,1079.84
1027,1027,1,462.0,253.0,253.0,462.0,253.0,209.0
1028,1028,1,596.0,0.0,28.41,596.0,28.41,567.59
