,id,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month
172,2516668,1.0,1.0,2.0,,150.0,4.64,4.75,4.74,4.92,4.87,1.22
173,2519535,1.0,1.0,1.0,2.0,365.0,4.75,4.86,4.91,4.88,4.94,0.51
174,2521698,1.0,1.0,1.0,2.0,1125.0,4.99,5.0,5.0,4.99,5.0,1.35
175,2537481,1.0,1.0,1.0,2.0,1125.0,4.92,4.94,4.95,4.98,5.0,2.95
176,2537521,2.0,2.0,2.0,2.0,1125.0,4.95,4.97,4.93,4.98,4.97,1.5
177,2546210,1.5,1.0,1.0,,1125.0,4.67,,5.0,4.67,5.0,0.02
178,2547576,1.5,1.0,1.0,3.0,1125.0,4.78,4.86,4.81,4.93,4.94,0.53
179,2558376,2.0,2.0,2.0,2.1,329.9,4.95,5.0,4.95,5.0,4.95,3.22
180,2643099,2.0,1.0,2.0,2.0,1125.0,4.89,4.74,4.72,4.94,4.74,0.37
181,3602334,1.0,1.0,1.0,,1125.0,4.91,4.97,4.94,4.97,4.91,0.29
182,3624106,2.0,1.0,1.0,1.0,1125.0,4.76,4.79,4.31,4.96,4.96,0.24
183,3635953,1.0,1.0,1.0,1.0,1125.0,4.91,4.9,4.93,4.94,4.98,5.03
184,3645689,1.0,1.0,1.0,3.0,30.0,5.0,5.0,5.0,5.0,,0.01
185,3685560,1.0,1.0,1.0,2.0,8.0,5.0,5.0,5.0,5.0,,0.01
186,3688757,1.0,2.0,2.0,4.0,1125.0,4.93,4.97,4.9,4.97,4.99,3.24
187,3756112,1.5,1.0,1.0,,360.0,4.78,4.76,4.87,4.94,4.89,1.03
188,3761074,2.5,1.0,1.0,,365.0,4.78,4.76,4.87,4.94,4.89,1.03
189,3767434,1.0,1.0,1.0,5.0,1125.0,4.9,4.88,4.93,4.98,4.91,0.65
190,2666125,1.0,2.0,1.0,,1125.0,4.74,4.82,4.77,4.88,4.97,0.84
191,2702917,1.0,1.0,1.0,5.0,1125.0,4.88,4.63,4.69,5.0,4.69,0.12
192,2715327,1.0,2.0,,3.0,1125.0,4.76,4.51,4.76,4.9,4.68,0.32
193,2716028,1.5,1.0,3.0,1.0,1125.0,4.76,4.51,4.76,4.9,4.68,0.32
194,2730883,1.5,1.0,3.0,,1125.0,4.76,4.88,4.94,4.94,5.0,0.17
195,2745912,1.0,1.0,1.0,5.0,1125.0,4.9,4.89,4.89,4.98,4.98,0.62
196,3835975,2.5,,,5.0,1125.0,4.92,4.89,4.97,4.93,4.94,1.63
197,3843070,1.0,1.0,1.0,3.0,1125.0,4.88,4.88,4.68,4.96,4.92,0.2
198,3843651,2.0,2.0,2.0,1.0,1125.0,4.79,4.9,4.82,4.91,4.94,1.1
199,3848018,1.0,1.0,1.0,3.0,730.0,4.91,4.83,4.83,4.78,4.96,0.21
200,3849434,1.0,1.0,2.0,2.0,1125.0,4.72,4.81,4.62,4.93,4.97,5.07
201,3874727,1.0,1.0,1.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,0.17
202,3881748,1.0,1.0,1.0,2.0,730.0,4.78,4.81,4.81,4.86,4.95,1.32
203,3898193,1.0,1.0,2.0,3.0,1125.0,4.85,4.88,4.83,4.85,4.83,0.33
204,2784853,1.0,1.0,1.0,3.0,1125.0,4.76,4.78,4.86,4.88,4.61,1.08
205,2789086,1.0,1.0,1.0,3.0,7.0,4.76,4.78,4.86,4.88,4.61,1.08
206,2794006,1.0,1.0,1.0,3.0,1125.0,4.96,4.92,4.94,4.98,4.84,0.59
207,2848002,1.0,1.0,1.0,2.0,365.0,5.0,5.0,5.0,5.0,5.0,0.19
208,2848113,1.0,1.0,1.0,2.0,365.0,4.89,4.96,5.0,4.96,4.98,0.43
209,2863665,1.0,1.0,1.0,,1125.0,4.92,4.96,4.94,4.97,4.9,2.04
210,2867671,1.0,1.0,1.0,2.0,1125.0,4.8,5.0,5.0,5.0,4.6,0.04
211,3916192,1.0,1.0,2.0,1.3,1125.0,4.85,4.89,4.84,4.92,4.95,3.84
212,3916297,1.0,2.0,2.0,3.0,1125.0,4.9,4.9,4.81,4.92,4.97,0.94
213,3944872,1.0,1.0,1.0,3.0,1125.0,4.88,4.94,4.88,4.96,4.95,0.63
214,3945795,1.0,1.0,1.0,5.0,1125.0,5.0,5.0,5.0,5.0,4.85,0.11
215,3947107,2.0,2.0,1.0,1.0,1125.0,4.63,4.66,4.59,4.81,4.84,0.25
216,3963443,2.0,2.0,1.0,5.0,1125.0,4.63,4.66,4.59,4.81,4.84,0.25
217,3987218,2.0,1.0,1.0,,1125.0,5.0,5.0,5.0,5.0,5.0,0.06
218,4013766,1.0,1.0,2.0,3.0,1124.0,4.73,4.78,4.77,4.96,4.88,1.5
219,4015726,2.0,3.0,,2.3,1125.0,4.79,4.85,4.78,4.84,4.93,0.45
220,2894095,2.0,2.0,3.0,,1125.0,4.79,4.76,4.8,4.92,4.92,0.89
221,2905087,1.0,1.0,1.0,4.0,10.0,4.94,5.0,5.0,4.97,4.97,0.27
222,2908957,1.0,1.0,1.0,1.0,1125.0,4.49,4.63,4.66,4.76,4.69,0.3
223,2918765,1.0,1.0,1.0,,1125.0,4.8,4.8,4.93,4.93,5.0,0.23
224,2932923,1.0,2.0,1.0,3.0,1125.0,4.44,4.67,4.67,4.78,,0.32
225,2942919,1.0,1.0,2.0,3.0,1125.0,4.77,4.73,4.79,4.81,4.93,1.44
226,2943836,1.0,2.0,2.0,3.0,90.0,4.85,4.89,4.85,4.9,4.71,0.42
227,4032302,1.0,1.0,1.0,3.0,1125.0,4.81,4.92,4.83,4.92,4.82,1.26
228,4062881,1.5,1.0,1.0,1.0,1125.0,4.97,4.91,4.96,4.99,4.97,0.59
229,4073755,3.0,,,2.1,1125.0,4.81,4.87,4.9,4.85,4.87,1.63
230,4074709,2.0,2.0,2.0,3.0,1125.0,4.83,4.85,4.82,4.88,4.85,1.39
231,4084998,2.0,2.0,2.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.95
232,4097827,2.0,2.0,3.0,1.0,730.0,4.95,4.9,4.94,4.98,4.81,2.23
233,4097894,1.5,1.0,1.0,2.0,1125.0,4.93,4.95,4.93,4.98,5.0,2.2
234,4103618,1.0,1.0,1.0,4.0,95.0,4.74,4.84,4.84,4.94,4.9,1.29
235,4103828,1.0,1.0,1.0,3.0,365.0,5.0,5.0,,5.0,5.0,0.75
236,2956545,1.0,1.0,1.0,1.0,365.0,5.0,5.0,,5.0,5.0,0.75
237,2984619,1.0,1.0,1.0,2.0,99.0,4.57,4.59,4.68,4.75,4.97,1.04
238,2984948,1.0,1.0,1.0,2.0,99.0,4.65,4.57,4.78,4.78,4.88,0.39
